model_name	file_source	ndcg@20	recall@20	hit@20	mrr@20	precision@20	map@20	giniindex@20	itemcoverage@20	shannonentropy@20	popularitypercentage@20	Value Unfairness of sensitive attribute gender	Absolute Unfairness of sensitive attribute gender	Underestimation Unfairness of sensitive attribute gender	Overestimation Unfairness of sensitive attribute gender	NonParity Unfairness of sensitive attribute gender	Differential Fairness of sensitive attribute gender
FOCF	Mar-04-2026_15-20-36.log	0.1849	0.2201	0.7669	0.3337	0.0845	0.0883	0.9552	0.2258	0.0073	0.6042	0.1321	0.1064	0.0312	0.1009	0.0039	1.2065
FOCF	Mar-04-2026_19-48-20.log	0.1849	0.2201	0.7671	0.3336	0.0844	0.0883	0.9552	0.2255	0.0073	0.6042	0.1321	0.1065	0.0311	0.101	0.0036	1.208
FOCF	Mar-04-2026_19-41-44.log	0.0688	0.0824	0.4866	0.1481	0.0355	0.0258	0.8859	0.4485	0.0043	0.2972	0.1287	0.1287	0.1287	0.0	0.0	1.0168
FOCF	Mar-04-2026_17-06-20.log	0.1849	0.2201	0.7669	0.3337	0.0845	0.0883	0.9552	0.2258	0.0073	0.6042	0.1321	0.1064	0.0312	0.1009	0.0038	1.2064
FOCF	Mar-05-2026_00-02-41.log	0.0688	0.0823	0.4861	0.148	0.0355	0.0258	0.8859	0.4485	0.0043	0.2972	0.1287	0.1287	0.1287	0.0	0.0	1.0168
FOCF	Mar-05-2026_05-23-13.log	0.232	0.2709	0.856	0.3913	0.112	0.1146	0.9539	0.2324	0.0071	0.8972	0.1293	0.1073	0.113	0.0163	0.0288	0.919
FOCF	Mar-04-2026_15-54-26.log	0.1849	0.2201	0.7669	0.3336	0.0845	0.0883	0.9552	0.2258	0.0073	0.6042	0.1321	0.1065	0.0312	0.101	0.0037	1.2081
FOCF	Mar-05-2026_05-59-19.log	0.0688	0.0823	0.4861	0.148	0.0355	0.0258	0.8859	0.4485	0.0043	0.2972	0.1287	0.1287	0.1287	0.0	0.0	1.0168
FOCF	Mar-05-2026_04-38-00.log	0.0688	0.0823	0.4861	0.148	0.0355	0.0258	0.8859	0.4485	0.0043	0.2972	0.1287	0.1287	0.1287	0.0	0.0	1.0168
FOCF	Mar-05-2026_03-32-53.log	0.1849	0.2201	0.7669	0.3337	0.0845	0.0883	0.9552	0.2258	0.0073	0.6043	0.1321	0.1064	0.0312	0.1009	0.0039	1.2062
